order,family,name,year,date1,date2,individuals
LEPIDOPTERA,AGONOXENIDAE,Blastodacna atra Hw.,1995,7/30/95,7/30/95,2
LEPIDOPTERA,AGONOXENIDAE,Blastodacna atra Hw.,1995,8/2/95,8/2/95,1
LEPIDOPTERA,AGONOXENIDAE,Blastodacna atra Hw.,1995,8/3/95,8/3/95,1
LEPIDOPTERA,AGONOXENIDAE,Blastodacna atra Hw.,1995,8/14/95,8/16/95,2
LEPIDOPTERA,AGONOXENIDAE,Blastodacna atra Hw.,1996,6/21/96,6/25/96,1
LEPIDOPTERA,AGONOXENIDAE,Blastodacna atra Hw.,1996,6/26/96,6/30/96,1
LEPIDOPTERA,AGONOXENIDAE,Blastodacna atra Hw.,1996,7/12/96,7/17/96,2
LEPIDOPTERA,AGONOXENIDAE,Blastodacna atra Hw.,1996,7/26/96,7/29/96,1
LEPIDOPTERA,AGONOXENIDAE,Blastodacna atra Hw.,1996,7/30/96,8/1/96,1
LEPIDOPTERA,AGONOXENIDAE,Blastodacna atra Hw.,1997,6/24/97,6/30/97,1
LEPIDOPTERA,AGONOXENIDAE,Blastodacna atra Hw.,1997,7/1/97,7/3/97,1
LEPIDOPTERA,AGONOXENIDAE,Blastodacna atra Hw.,1997,7/7/97,7/8/97,3
LEPIDOPTERA,AGONOXENIDAE,Blastodacna atra Hw.,1997,7/9/97,7/10/97,1
LEPIDOPTERA,AGONOXENIDAE,Blastodacna atra Hw.,1997,8/1/97,8/3/97,1
LEPIDOPTERA,AGONOXENIDAE,Blastodacna atra Hw.,1998,6/22/98,6/25/98,1
LEPIDOPTERA,AGONOXENIDAE,Blastodacna atra Hw.,1998,7/13/98,7/19/98,1
LEPIDOPTERA,AGONOXENIDAE,Blastodacna atra Hw.,1998,7/22/98,7/23/98,2
LEPIDOPTERA,AGONOXENIDAE,Blastodacna atra Hw.,1998,7/29/98,8/2/98,1
LEPIDOPTERA,AGONOXENIDAE,Blastodacna atra Hw.,1998,8/14/98,8/18/98,1
LEPIDOPTERA,AGONOXENIDAE,Blastodacna atra Hw.,1998,8/21/98,8/23/98,1
LEPIDOPTERA,AGONOXENIDAE,Blastodacna atra Hw.,1999,6/17/99,6/20/99,2
LEPIDOPTERA,AGONOXENIDAE,Blastodacna atra Hw.,1999,6/30/99,7/1/99,1
LEPIDOPTERA,AGONOXENIDAE,Blastodacna atra Hw.,1999,7/5/99,7/6/99,1
LEPIDOPTERA,AGONOXENIDAE,Blastodacna atra Hw.,1999,8/13/99,8/15/99,1
LEPIDOPTERA,AGONOXENIDAE,Blastodacna atra Hw.,2000,6/16/00,6/21/00,5
LEPIDOPTERA,AGONOXENIDAE,Blastodacna atra Hw.,2000,6/22/00,6/27/00,1
LEPIDOPTERA,AGONOXENIDAE,Blastodacna atra Hw.,2000,7/12/00,7/18/00,1
LEPIDOPTERA,AGONOXENIDAE,Blastodacna atra Hw.,2000,8/4/00,8/13/00,2
LEPIDOPTERA,AGONOXENIDAE,Blastodacna atra Hw.,2001,6/25/01,6/27/01,1
LEPIDOPTERA,AGONOXENIDAE,Blastodacna atra Hw.,2001,7/2/01,7/3/01,1
LEPIDOPTERA,AGONOXENIDAE,Blastodacna atra Hw.,2001,7/20/01,7/23/01,1
LEPIDOPTERA,AGONOXENIDAE,Blastodacna atra Hw.,2001,8/10/01,8/13/01,1
LEPIDOPTERA,AGONOXENIDAE,Blastodacna atra Hw.,2001,8/14/01,8/16/01,1
LEPIDOPTERA,AGONOXENIDAE,Blastodacna atra Hw.,2002,6/17/02,6/18/02,2
LEPIDOPTERA,AGONOXENIDAE,Blastodacna atra Hw.,2002,6/19/02,6/27/02,2
LEPIDOPTERA,AGONOXENIDAE,Blastodacna atra Hw.,2002,7/12/02,7/15/02,2
LEPIDOPTERA,AGONOXENIDAE,Blastodacna atra Hw.,2002,7/16/02,7/17/02,1
LEPIDOPTERA,AGONOXENIDAE,Blastodacna atra Hw.,2003,6/23/03,7/10/03,4
LEPIDOPTERA,AGONOXENIDAE,Blastodacna atra Hw.,2004,7/30/04,8/1/04,2
LEPIDOPTERA,AGONOXENIDAE,Blastodacna atra Hw.,2004,8/2/04,8/3/04,1
LEPIDOPTERA,AGONOXENIDAE,Blastodacna atra Hw.,2005,6/18/05,6/21/05,4
LEPIDOPTERA,AGONOXENIDAE,Blastodacna atra Hw.,2005,6/22/05,6/26/05,1
LEPIDOPTERA,AGONOXENIDAE,Blastodacna atra Hw.,2005,6/27/05,6/30/05,2
LEPIDOPTERA,AGONOXENIDAE,Blastodacna atra Hw.,2005,7/7/05,7/7/05,2
LEPIDOPTERA,AGONOXENIDAE,Blastodacna atra Hw.,2005,7/8/05,7/10/05,1
LEPIDOPTERA,AGONOXENIDAE,Blastodacna atra Hw.,2005,7/11/05,7/11/05,1
LEPIDOPTERA,AGONOXENIDAE,Blastodacna atra Hw.,2005,7/22/05,7/26/05,1
LEPIDOPTERA,AGONOXENIDAE,Blastodacna atra Hw.,2006,7/3/06,7/6/06,1
LEPIDOPTERA,AGONOXENIDAE,Blastodacna atra Hw.,2006,7/7/06,7/9/06,1
LEPIDOPTERA,AGONOXENIDAE,Blastodacna atra Hw.,2006,7/14/06,7/20/06,1
LEPIDOPTERA,AGONOXENIDAE,Blastodacna atra Hw.,2006,9/7/06,9/13/06,1
LEPIDOPTERA,AGONOXENIDAE,Blastodacna atra Hw.,2008,6/17/08,6/22/08,1
LEPIDOPTERA,AGONOXENIDAE,Blastodacna atra Hw.,2008,7/3/08,7/8/08,1
LEPIDOPTERA,AGONOXENIDAE,Blastodacna atra Hw.,2008,7/11/08,7/23/08,2
LEPIDOPTERA,AGONOXENIDAE,Blastodacna atra Hw.,2008,7/29/08,8/3/08,1
LEPIDOPTERA,AGONOXENIDAE,Blastodacna atra Hw.,2009,7/3/09,7/10/09,3
LEPIDOPTERA,AGONOXENIDAE,Blastodacna atra Hw.,2009,7/11/09,7/20/09,1
LEPIDOPTERA,AGONOXENIDAE,Blastodacna atra Hw.,2009,7/28/09,8/2/09,1
LEPIDOPTERA,AGONOXENIDAE,Blastodacna hellerella Dup.,1992,6/22/92,6/23/92,1
LEPIDOPTERA,AGONOXENIDAE,Blastodacna hellerella Dup.,1992,6/26/92,6/28/92,1
LEPIDOPTERA,AGONOXENIDAE,Blastodacna hellerella Dup.,1993,6/1/93,6/6/93,1
LEPIDOPTERA,AGONOXENIDAE,Blastodacna hellerella Dup.,1993,6/25/93,6/27/93,1
LEPIDOPTERA,AGONOXENIDAE,Blastodacna hellerella Dup.,1993,6/28/93,6/30/93,1
LEPIDOPTERA,AGONOXENIDAE,Blastodacna hellerella Dup.,1993,7/1/93,7/4/93,1
LEPIDOPTERA,AGONOXENIDAE,Blastodacna hellerella Dup.,1993,7/8/93,7/11/93,1
LEPIDOPTERA,AGONOXENIDAE,Blastodacna hellerella Dup.,1994,6/24/94,6/28/94,4
LEPIDOPTERA,AGONOXENIDAE,Blastodacna hellerella Dup.,1994,7/4/94,7/6/94,1
LEPIDOPTERA,AGONOXENIDAE,Blastodacna hellerella Dup.,1995,7/14/95,7/17/95,1
LEPIDOPTERA,AGONOXENIDAE,Blastodacna hellerella Dup.,1996,6/26/96,6/30/96,1
LEPIDOPTERA,AGONOXENIDAE,Blastodacna hellerella Dup.,1996,7/5/96,7/11/96,2
LEPIDOPTERA,AGONOXENIDAE,Blastodacna hellerella Dup.,1997,6/9/97,6/12/97,1
LEPIDOPTERA,AGONOXENIDAE,Blastodacna hellerella Dup.,1997,6/24/97,6/30/97,1
LEPIDOPTERA,AGONOXENIDAE,Blastodacna hellerella Dup.,1997,7/7/97,7/8/97,2
LEPIDOPTERA,AGONOXENIDAE,Blastodacna hellerella Dup.,1997,7/11/97,7/13/97,1
LEPIDOPTERA,AGONOXENIDAE,Blastodacna hellerella Dup.,1998,6/19/98,6/21/98,1
LEPIDOPTERA,AGONOXENIDAE,Blastodacna hellerella Dup.,1998,7/3/98,7/8/98,1
LEPIDOPTERA,AGONOXENIDAE,Blastodacna hellerella Dup.,1999,6/14/99,6/16/99,1
LEPIDOPTERA,AGONOXENIDAE,Blastodacna hellerella Dup.,1999,6/17/99,6/20/99,1
LEPIDOPTERA,AGONOXENIDAE,Blastodacna hellerella Dup.,1999,6/21/99,6/27/99,5
LEPIDOPTERA,AGONOXENIDAE,Blastodacna hellerella Dup.,1999,6/28/99,6/29/99,1
LEPIDOPTERA,AGONOXENIDAE,Blastodacna hellerella Dup.,1999,6/30/99,7/1/99,1
LEPIDOPTERA,AGONOXENIDAE,Blastodacna hellerella Dup.,1999,7/2/99,7/4/99,5
LEPIDOPTERA,AGONOXENIDAE,Blastodacna hellerella Dup.,1999,7/5/99,7/6/99,1
LEPIDOPTERA,AGONOXENIDAE,Blastodacna hellerella Dup.,1999,7/9/99,7/11/99,3
LEPIDOPTERA,AGONOXENIDAE,Blastodacna hellerella Dup.,1999,7/12/99,7/19/99,1
LEPIDOPTERA,AGONOXENIDAE,Blastodacna hellerella Dup.,2000,6/9/00,6/12/00,1
LEPIDOPTERA,AGONOXENIDAE,Blastodacna hellerella Dup.,2000,6/16/00,6/21/00,2
LEPIDOPTERA,AGONOXENIDAE,Blastodacna hellerella Dup.,2001,6/20/01,6/24/01,2
LEPIDOPTERA,AGONOXENIDAE,Blastodacna hellerella Dup.,2001,6/25/01,6/27/01,4
LEPIDOPTERA,AGONOXENIDAE,Blastodacna hellerella Dup.,2001,6/28/01,7/1/01,5
LEPIDOPTERA,AGONOXENIDAE,Blastodacna hellerella Dup.,2001,7/2/01,7/3/01,2
LEPIDOPTERA,AGONOXENIDAE,Blastodacna hellerella Dup.,2001,7/4/01,7/8/01,2
LEPIDOPTERA,AGONOXENIDAE,Blastodacna hellerella Dup.,2002,6/1/02,6/10/02,1
LEPIDOPTERA,AGONOXENIDAE,Blastodacna hellerella Dup.,2002,6/11/02,6/16/02,1
LEPIDOPTERA,AGONOXENIDAE,Blastodacna hellerella Dup.,2002,6/17/02,6/18/02,1
LEPIDOPTERA,AGONOXENIDAE,Blastodacna hellerella Dup.,2002,6/19/02,6/27/02,1
LEPIDOPTERA,AGONOXENIDAE,Blastodacna hellerella Dup.,2003,6/10/03,6/15/03,2
LEPIDOPTERA,AGONOXENIDAE,Blastodacna hellerella Dup.,2004,6/28/04,6/30/04,1
LEPIDOPTERA,AGONOXENIDAE,Blastodacna hellerella Dup.,2005,6/18/05,6/21/05,1
LEPIDOPTERA,AGONOXENIDAE,Blastodacna hellerella Dup.,2006,6/29/06,7/2/06,1
LEPIDOPTERA,AGONOXENIDAE,Blastodacna hellerella Dup.,2007,6/7/07,6/10/07,1
LEPIDOPTERA,AGONOXENIDAE,Blastodacna hellerella Dup.,2007,6/11/07,6/12/07,1
LEPIDOPTERA,AGONOXENIDAE,Blastodacna hellerella Dup.,2007,6/18/07,6/21/07,1
LEPIDOPTERA,AGONOXENIDAE,Blastodacna hellerella Dup.,2008,6/3/08,6/8/08,1
LEPIDOPTERA,AGONOXENIDAE,Blastodacna hellerella Dup.,2008,6/9/08,6/16/08,1
LEPIDOPTERA,AGONOXENIDAE,Blastodacna hellerella Dup.,2008,6/23/08,6/25/08,1
LEPIDOPTERA,AGONOXENIDAE,Blastodacna hellerella Dup.,2008,6/26/08,7/2/08,1
LEPIDOPTERA,AGONOXENIDAE,Blastodacna hellerella Dup.,2008,7/3/08,7/8/08,1
LEPIDOPTERA,AGONOXENIDAE,Blastodacna hellerella Dup.,2009,6/26/09,6/28/09,1
LEPIDOPTERA,AGONOXENIDAE,Blastodacna hellerella Dup.,2009,6/29/09,6/29/09,1
LEPIDOPTERA,AGONOXENIDAE,Chrysoclista linneella Cl.,1994,7/20/94,7/21/94,1
LEPIDOPTERA,AGONOXENIDAE,Chrysoclista linneella Cl.,1997,8/8/97,8/13/97,1
LEPIDOPTERA,AGONOXENIDAE,Chrysoclista linneella Cl.,2001,7/26/01,7/29/01,1
LEPIDOPTERA,AGONOXENIDAE,Chrysoclista linneella Cl.,2008,8/4/08,8/7/08,1
LEPIDOPTERA,ALUCITIDAE,Alucita hexadactyla L.,1994,6/8/94,6/13/94,1
LEPIDOPTERA,ALUCITIDAE,Alucita hexadactyla L.,1995,4/26/95,5/8/95,1
LEPIDOPTERA,ALUCITIDAE,Alucita hexadactyla L.,1997,5/7/97,5/29/97,1
LEPIDOPTERA,ALUCITIDAE,Alucita hexadactyla L.,1997,6/13/97,6/22/97,1
LEPIDOPTERA,ALUCITIDAE,Alucita hexadactyla L.,1998,8/14/98,8/18/98,1
LEPIDOPTERA,ALUCITIDAE,Alucita hexadactyla L.,2003,5/21/03,5/26/03,1
LEPIDOPTERA,ALUCITIDAE,Alucita hexadactyla L.,2004,5/18/04,6/7/04,1
LEPIDOPTERA,ALUCITIDAE,Alucita hexadactyla L.,2005,7/22/05,7/26/05,1
LEPIDOPTERA,ALUCITIDAE,Alucita hexadactyla L.,2006,5/19/06,5/31/06,1
LEPIDOPTERA,ALUCITIDAE,Alucita hexadactyla L.,2006,6/1/06,6/8/06,4
LEPIDOPTERA,ALUCITIDAE,Alucita hexadactyla L.,2009,5/20/09,6/2/09,1
LEPIDOPTERA,AMPHISBATHIDAE,Pseudatemelia josephinae Toll,2009,7/11/09,7/20/09,1
LEPIDOPTERA,ARCTIIDAE,Arctia caja L.,1992,7/10/92,7/12/92,1
LEPIDOPTERA,ARCTIIDAE,Arctia caja L.,1997,7/21/97,7/21/97,1
LEPIDOPTERA,ARCTIIDAE,Arctia caja L.,2003,7/11/03,7/14/03,1
LEPIDOPTERA,ARCTIIDAE,Arctia caja L.,2005,8/3/05,8/5/05,1
LEPIDOPTERA,ARCTIIDAE,Atolmis rubricollis L.,1992,6/29/92,7/2/92,1
LEPIDOPTERA,ARCTIIDAE,Atolmis rubricollis L.,1992,7/6/92,7/8/92,1
LEPIDOPTERA,ARCTIIDAE,Atolmis rubricollis L.,1995,7/7/95,7/9/95,1
LEPIDOPTERA,ARCTIIDAE,Atolmis rubricollis L.,2000,6/16/00,6/21/00,1
LEPIDOPTERA,ARCTIIDAE,Atolmis rubricollis L.,2003,6/23/03,7/10/03,1
LEPIDOPTERA,ARCTIIDAE,Atolmis rubricollis L.,2004,6/24/04,6/27/04,1
LEPIDOPTERA,ARCTIIDAE,Atolmis rubricollis L.,2005,6/22/05,6/26/05,1
LEPIDOPTERA,ARCTIIDAE,Atolmis rubricollis L.,2006,6/14/06,6/20/06,1
LEPIDOPTERA,ARCTIIDAE,Atolmis rubricollis L.,2006,6/21/06,6/25/06,1
LEPIDOPTERA,ARCTIIDAE,Atolmis rubricollis L.,2006,6/26/06,6/28/06,3
LEPIDOPTERA,ARCTIIDAE,Atolmis rubricollis L.,2006,7/3/06,7/6/06,1
LEPIDOPTERA,ARCTIIDAE,Atolmis rubricollis L.,2007,6/7/07,6/10/07,1
LEPIDOPTERA,ARCTIIDAE,Atolmis rubricollis L.,2007,6/22/07,6/25/07,1
LEPIDOPTERA,ARCTIIDAE,Atolmis rubricollis L.,2007,6/29/07,7/8/07,1
LEPIDOPTERA,ARCTIIDAE,Atolmis rubricollis L.,2009,6/26/09,6/28/09,2
LEPIDOPTERA,ARCTIIDAE,Atolmis rubricollis L.,2009,6/30/09,7/2/09,4
LEPIDOPTERA,ARCTIIDAE,Callimorpha dominula L.,2009,7/3/09,7/10/09,1
LEPIDOPTERA,ARCTIIDAE,Cybosia mesomella L.,2000,6/28/00,7/2/00,1
LEPIDOPTERA,ARCTIIDAE,Cybosia mesomella L.,2004,7/30/04,8/1/04,1
LEPIDOPTERA,ARCTIIDAE,Eilema complana L.,1994,7/12/94,7/14/94,1
LEPIDOPTERA,ARCTIIDAE,Eilema complana L.,1996,8/14/96,8/15/96,1
LEPIDOPTERA,ARCTIIDAE,Eilema complana L.,1996,8/16/96,8/18/96,1
LEPIDOPTERA,ARCTIIDAE,Eilema complana L.,2002,7/18/02,7/28/02,1
LEPIDOPTERA,ARCTIIDAE,Eilema complana L.,2002,8/1/02,8/4/02,1
LEPIDOPTERA,ARCTIIDAE,Eilema complana L.,2003,7/21/03,7/24/03,1
LEPIDOPTERA,ARCTIIDAE,Eilema complana L.,2003,7/25/03,7/31/03,1
LEPIDOPTERA,ARCTIIDAE,Eilema complana L.,2004,8/9/04,8/10/04,1
LEPIDOPTERA,ARCTIIDAE,Eilema complana L.,2005,7/8/05,7/10/05,1
LEPIDOPTERA,ARCTIIDAE,Eilema depressa Esp.,1995,7/14/95,7/17/95,1
LEPIDOPTERA,ARCTIIDAE,Eilema depressa Esp.,1996,8/2/96,8/8/96,1
LEPIDOPTERA,ARCTIIDAE,Eilema depressa Esp.,1998,7/20/98,7/21/98,1
LEPIDOPTERA,ARCTIIDAE,Eilema depressa Esp.,2003,7/21/03,7/24/03,1
LEPIDOPTERA,ARCTIIDAE,Eilema depressa Esp.,2003,8/1/03,8/8/03,1
LEPIDOPTERA,ARCTIIDAE,Eilema depressa Esp.,2004,7/15/04,7/18/04,1
LEPIDOPTERA,ARCTIIDAE,Eilema depressa Esp.,2005,7/12/05,7/14/05,1
LEPIDOPTERA,ARCTIIDAE,Eilema depressa Esp.,2005,9/19/05,9/21/05,1
LEPIDOPTERA,ARCTIIDAE,Eilema depressa Esp.,2006,7/14/06,7/20/06,2
LEPIDOPTERA,ARCTIIDAE,Eilema depressa Esp.,2006,7/21/06,7/27/06,4
LEPIDOPTERA,ARCTIIDAE,Eilema depressa Esp.,2007,6/29/07,7/8/07,1
LEPIDOPTERA,ARCTIIDAE,Eilema depressa Esp.,2007,7/9/07,7/18/07,1
LEPIDOPTERA,ARCTIIDAE,Eilema depressa Esp.,2007,7/19/07,7/25/07,1
LEPIDOPTERA,ARCTIIDAE,Eilema depressa Esp.,2007,8/3/07,8/8/07,1
LEPIDOPTERA,ARCTIIDAE,Eilema depressa Esp.,2009,7/11/09,7/20/09,1
LEPIDOPTERA,ARCTIIDAE,Eilema lurideola Zinck.,1996,7/5/96,7/11/96,1
LEPIDOPTERA,ARCTIIDAE,Eilema lurideola Zinck.,1997,7/24/97,7/24/97,1
LEPIDOPTERA,ARCTIIDAE,Eilema lurideola Zinck.,2002,7/18/02,7/28/02,1
LEPIDOPTERA,ARCTIIDAE,Eilema lurideola Zinck.,2003,7/21/03,7/24/03,1
LEPIDOPTERA,ARCTIIDAE,Eilema lurideola Zinck.,2004,7/30/04,8/1/04,1
LEPIDOPTERA,ARCTIIDAE,Eilema lutarella L.,1994,7/12/94,7/14/94,1
LEPIDOPTERA,ARCTIIDAE,Eilema lutarella L.,1996,7/26/96,7/29/96,1
LEPIDOPTERA,ARCTIIDAE,Eilema lutarella L.,1997,7/16/97,7/20/97,2
LEPIDOPTERA,ARCTIIDAE,Eilema lutarella L.,1997,7/21/97,7/21/97,1
LEPIDOPTERA,ARCTIIDAE,Eilema lutarella L.,1998,7/22/98,7/23/98,1
LEPIDOPTERA,ARCTIIDAE,Eilema lutarella L.,1998,7/27/98,7/28/98,1
LEPIDOPTERA,ARCTIIDAE,Eilema lutarella L.,2000,7/21/00,7/24/00,1
LEPIDOPTERA,ARCTIIDAE,Eilema lutarella L.,2002,7/18/02,7/28/02,6
LEPIDOPTERA,ARCTIIDAE,Eilema lutarella L.,2003,7/15/03,7/20/03,1
LEPIDOPTERA,ARCTIIDAE,Eilema lutarella L.,2003,7/21/03,7/24/03,3
LEPIDOPTERA,ARCTIIDAE,Eilema lutarella L.,2004,7/19/04,7/21/04,1
LEPIDOPTERA,ARCTIIDAE,Eilema lutarella L.,2004,7/30/04,8/1/04,2
LEPIDOPTERA,ARCTIIDAE,Eilema lutarella L.,2004,8/2/04,8/3/04,9
LEPIDOPTERA,ARCTIIDAE,Eilema lutarella L.,2006,7/14/06,7/20/06,1
LEPIDOPTERA,ARCTIIDAE,Eilema sororcula Hfn.,2000,5/17/00,6/8/00,1
LEPIDOPTERA,ARCTIIDAE,Eilema sororcula Hfn.,2001,5/22/01,5/31/01,1
LEPIDOPTERA,ARCTIIDAE,Eilema sororcula Hfn.,2004,5/18/04,6/7/04,1
LEPIDOPTERA,ARCTIIDAE,Eilema sororcula Hfn.,2005,5/30/05,6/2/05,1
LEPIDOPTERA,ARCTIIDAE,Eilema sororcula Hfn.,2006,6/1/06,6/8/06,2
LEPIDOPTERA,ARCTIIDAE,Eilema sororcula Hfn.,2006,6/9/06,6/11/06,1
LEPIDOPTERA,ARCTIIDAE,Eilema sororcula Hfn.,2007,5/22/07,5/30/07,2
LEPIDOPTERA,ARCTIIDAE,Lithosia quadra L.,2008,7/24/08,7/28/08,1
LEPIDOPTERA,ARCTIIDAE,Miltochrista miniata Forst.,1999,7/12/99,7/19/99,1
LEPIDOPTERA,ARCTIIDAE,Miltochrista miniata Forst.,2004,7/22/04,7/25/04,1
LEPIDOPTERA,ARCTIIDAE,Miltochrista miniata Forst.,2005,7/8/05,7/10/05,1
LEPIDOPTERA,ARCTIIDAE,Pelosia muscerda Hfn.,1997,8/1/97,8/3/97,1
LEPIDOPTERA,ARCTIIDAE,Pelosia muscerda Hfn.,2002,7/8/02,7/11/02,1
LEPIDOPTERA,ARCTIIDAE,Pelosia muscerda Hfn.,2003,7/21/03,7/24/03,1
LEPIDOPTERA,ARCTIIDAE,Pelosia muscerda Hfn.,2003,7/25/03,7/31/03,3
LEPIDOPTERA,ARCTIIDAE,Pelosia muscerda Hfn.,2005,7/30/05,8/2/05,1
LEPIDOPTERA,ARCTIIDAE,Pelosia muscerda Hfn.,2005,8/3/05,8/5/05,1
LEPIDOPTERA,ARCTIIDAE,Pelosia muscerda Hfn.,2006,7/21/06,7/27/06,1
LEPIDOPTERA,ARCTIIDAE,Pelosia muscerda Hfn.,2007,8/9/07,8/13/07,1
LEPIDOPTERA,ARCTIIDAE,Pelosia muscerda Hfn.,2009,7/11/09,7/20/09,1
LEPIDOPTERA,ARCTIIDAE,Pelosia muscerda Hfn.,2009,7/28/09,8/2/09,3
LEPIDOPTERA,ARCTIIDAE,Phragmatobia fuliginosa L.,1994,7/20/94,7/21/94,1
LEPIDOPTERA,ARCTIIDAE,Phragmatobia fuliginosa L.,1994,7/27/94,7/27/94,1
